;source;search;name;link;compensation_min;compensation_max;compensation_currency
222;https://hh.ru;Data science;AI/ML Team Lead;https://hh.ru/vacancy/42442313?query=Data%20science;200000;;руб.
223;https://hh.ru;Data science;Senior BI analyst;https://hh.ru/vacancy/42400394?query=Data%20science;1800;;USD
224;https://hh.ru;Data science;Аналитик SQL;https://hh.ru/vacancy/42442270?query=Data%20science;;;
225;https://hh.ru;Data science;Junior Machine Learning Engineer;https://hh.ru/vacancy/42358249?query=Data%20science;;;
226;https://hh.ru;Data science;Системный аналитик в области data science;https://hh.ru/vacancy/42400154?query=Data%20science;;;
227;https://hh.ru;Data science;Machine Learning Engineer;https://hh.ru/vacancy/42666514?query=Data%20science;;;
228;https://hh.ru;Data science;Data scientist (инфраструктурное направление);https://hh.ru/vacancy/42320995?query=Data%20science;;;
229;https://hh.ru;Data science;Lead Big Data Engineer;https://hh.ru/vacancy/42491181?query=Data%20science;;;
230;https://hh.ru;Data science;Data scientist (Predictive Analytics);https://hh.ru/vacancy/42389383?query=Data%20science;;;
231;https://hh.ru;Data science;Data science инженер;https://hh.ru/vacancy/42218057?query=Data%20science;180000;250000;руб.
232;https://hh.ru;Data science;Data scientist (Predictive Analytics);https://hh.ru/vacancy/42389381?query=Data%20science;;;
233;https://hh.ru;Data science;Marketing Data Analyst;https://hh.ru/vacancy/42426069?query=Data%20science;;;
234;https://hh.ru;Data science;Системный аналитик в области data science;https://hh.ru/vacancy/42400152?query=Data%20science;;;
235;https://hh.ru;Data science;Data scientist (Predictive Analytics);https://hh.ru/vacancy/42389382?query=Data%20science;;;
236;https://hh.ru;Data science;Data scientist / ML engineer;https://hh.ru/vacancy/42390574?query=Data%20science;;;
237;https://hh.ru;Data science;Системный аналитик (Data Scientist);https://hh.ru/vacancy/42318838?query=Data%20science;;;
238;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42330874?query=Data%20science;;;
239;https://hh.ru;Data science;Big Data - разработчик;https://hh.ru/vacancy/42365475?query=Data%20science;;;
240;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42323623?query=Data%20science;;;
241;https://hh.ru;Data science;Data analyst;https://hh.ru/vacancy/42261811?query=Data%20science;;;
242;https://hh.ru;Data science;Data scientist;https://hh.ru/vacancy/42313851?query=Data%20science;;;
243;https://hh.ru;Data science;Senior Analytics & Insights Manager / Старший бизнес-аналитик отдела информационных технологий;https://hh.ru/vacancy/42438834?query=Data%20science;;;
244;https://hh.ru;Data science;Analyst - Programming & Automation;https://hh.ru/vacancy/42458222?query=Data%20science;;;
245;https://hh.ru;Data science;Product Analyst;https://hh.ru/vacancy/42523408?query=Data%20science;;;
246;https://hh.ru;Data science;Junior BI Engineer;https://hh.ru/vacancy/42359255?query=Data%20science;;;
247;https://hh.ru;Data science;Data Platform Engineer with PostgreSQL Skills (Online Retailer);https://hh.ru/vacancy/42658748?query=Data%20science;;;
248;https://hh.ru;Data science;Junior DWH Engineer;https://hh.ru/vacancy/42358311?query=Data%20science;;;
249;https://hh.ru;Data science;Principal Data Engineer (Берлин / Брауншвайг);https://hh.ru/vacancy/42308048?query=Data%20science;;;
